epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.605,1.27585,2.84055,1.72379,0.00324,0.80814,0.3667,0.21095,1.12572,3.68532,1.62361,0.00025005,0.00025005,0.00025005
2,277.416,1.21629,2.14019,1.64202,0.00327,0.80814,0.3776,0.20726,1.25369,3.60194,1.74154,0.000499717,0.000499717,0.000499717
3,374.084,1.17156,1.93424,1.59009,0.31244,0.36353,0.30131,0.15551,1.48013,3.26442,2.04647,0.00073178,0.00073178,0.00073178
4,472.87,1.21253,1.86447,1.60743,0.38182,0.5197,0.40049,0.17182,1.7208,3.8563,2.39712,0.000946239,0.000946239,0.000946239
5,568.418,1.24107,1.80346,1.635,0.5785,0.46576,0.47281,0.25096,1.63119,3.43038,2.40457,0.0011431,0.0011431,0.0011431
6,667.291,1.25694,1.68724,1.61966,0.5594,0.53408,0.53336,0.27841,1.71323,3.60463,2.34939,0.00132235,0.00132235,0.00132235
7,784.593,1.30023,1.71597,1.63459,0.13403,0.25129,0.06097,0.01274,2.81653,4.67767,3.39357,0.00133693,0.00133693,0.00133693
8,907.846,1.2532,1.59807,1.58089,0.64549,0.46576,0.49826,0.23961,1.83969,4.67123,2.54646,0.00128192,0.00128192,0.00128192
9,1018.58,1.26954,1.61122,1.64301,0.52348,0.48547,0.47415,0.23838,1.71279,3.08946,2.24566,0.00122691,0.00122691,0.00122691
10,1127.69,1.21696,1.51036,1.56584,0.60551,0.60256,0.59751,0.30635,1.77562,2.61503,2.54497,0.0011719,0.0011719,0.0011719
11,1270.7,1.23413,1.47303,1.57723,0.74317,0.50081,0.59874,0.31736,1.68299,2.64059,2.26144,0.00111689,0.00111689,0.00111689
12,1370.86,1.1849,1.41916,1.55621,0.75814,0.64099,0.67287,0.38785,1.5448,2.31592,2.06859,0.00106188,0.00106188,0.00106188
13,1470.67,1.16351,1.31439,1.51883,0.69797,0.59367,0.61052,0.33196,1.63977,2.22147,2.13558,0.00100687,0.00100687,0.00100687
14,1570.3,1.15517,1.28742,1.50583,0.57696,0.55677,0.55089,0.30295,1.62322,2.55832,2.21488,0.000951857,0.000951857,0.000951857
15,1667.13,1.22132,1.36491,1.56272,0.64075,0.57865,0.59661,0.32084,1.51626,2.2166,2.00951,0.000896846,0.000896846,0.000896846
16,1765.4,1.12263,1.26728,1.47812,0.79877,0.62091,0.69618,0.38512,1.59145,1.9668,2.03906,0.000841835,0.000841835,0.000841835
17,1866.93,1.09303,1.20113,1.45333,0.86374,0.67458,0.72845,0.45571,1.39915,1.76002,1.87582,0.000786824,0.000786824,0.000786824
18,2797.68,1.0863,1.16582,1.47575,0.81865,0.68057,0.7001,0.41343,1.50513,1.80961,2.01422,0.000731813,0.000731813,0.000731813
19,2998.06,1.07209,1.15877,1.46516,0.83817,0.63506,0.66487,0.41014,1.50179,1.80275,1.97928,0.000676802,0.000676802,0.000676802
20,3103.55,1.03367,1.06419,1.42179,0.87917,0.66876,0.71172,0.43338,1.47092,1.82877,1.88298,0.000621791,0.000621791,0.000621791
21,3202.81,0.97813,1.32359,1.52667,0.87751,0.60756,0.66125,0.33461,1.67575,2.06802,2.18344,0.00056678,0.00056678,0.00056678
22,3297.06,0.92628,1.09094,1.48333,0.93758,0.66684,0.70753,0.4241,1.45829,1.87363,1.89751,0.000511769,0.000511769,0.000511769
23,3390.69,0.85528,0.99834,1.42185,0.86283,0.70065,0.71942,0.45117,1.41667,1.79026,1.85487,0.000456758,0.000456758,0.000456758
24,3485.61,0.82635,0.94056,1.39567,0.90769,0.68828,0.72437,0.46907,1.32486,1.65934,1.78232,0.000401747,0.000401747,0.000401747
25,3705.77,0.85498,0.92022,1.39828,0.92708,0.69064,0.75016,0.48751,1.3371,1.60976,1.74942,0.000346736,0.000346736,0.000346736
26,3806.69,0.75252,0.85113,1.30224,0.88596,0.72335,0.75202,0.49117,1.35321,1.58039,1.75122,0.000291725,0.000291725,0.000291725
27,3900.02,0.7578,0.86952,1.32201,0.92499,0.69704,0.74403,0.50822,1.30786,1.55806,1.71177,0.000236714,0.000236714,0.000236714
28,3997.63,0.74523,0.80314,1.32407,0.93067,0.73724,0.76382,0.51466,1.29476,1.47509,1.70795,0.000181703,0.000181703,0.000181703
29,4095.2,0.70254,0.79345,1.25688,0.96477,0.72774,0.76855,0.51587,1.30152,1.44485,1.71844,0.000126692,0.000126692,0.000126692
30,4203.53,0.68239,0.7861,1.23082,0.94977,0.71108,0.76513,0.5122,1.28457,1.43827,1.71116,7.1681e-05,7.1681e-05,7.1681e-05
